Primary Vertex hash,Summarized Vertex hash
-861389654,-1749572476
-861389654,983255544
-861389654,-1273678458
-861389654,-2057722767
-1459456768,-475538457
-1459456768,-731804875
2069451611,-2086924484
2069451611,-1722657839
-2082775587,40390812
-2082775587,-476378428
1316122744,571302089
1316122744,1984445360
-801436619,786260255
-801436619,-1946785805
-801436619,584862996
-801436619,-839280141
-801436619,-1879843459
-801436619,-1086535117
-801436619,41237604
-801436619,-1921592733
-801436619,209377827
-801436619,-229694700
-801436619,1621045952
-801436619,-1119423385
-801436619,2062969684
-801436619,-1182280668
-801436619,885002851
-801436619,1267794418
-801436619,-1526391584
-801436619,-1294861191
-801436619,1995820700
-801436619,90603791
-801436619,1699991802
-801436619,905363097
-801436619,12090827
-801436619,-1626226075
-801436619,-906781306
-801436619,-675290231
-801436619,1963740282
-801436619,-571822189
-801436619,-827371759
-801436619,-1916848064
-268659213,1809600414
-268659213,-1327323610
-268659213,-1233301319
-268659213,-2093832841
-268659213,973867849
-268659213,734094408
-268659213,-1420330212
-268659213,1124510346
-268659213,-1171771931
-268659213,-355310945
-268659213,1271237844
-268659213,668859337
-268659213,-1634187517
-268659213,-1434484380
-268659213,-1047378893
-268659213,-640222985
-268659213,1082772008
-268659213,-1128087389
-268659213,92618660
-268659213,-539520204
-268659213,174594765
-268659213,-1144809947
-268659213,-1082554095
-268659213,271489540
-268659213,-1949508701
-268659213,-360936813
-268659213,591580402
-268659213,-110519912
-268659213,1323718551
-268659213,213087618
-268659213,-1387485128
-268659213,277327600
-268659213,-1417344003
-268659213,1493678268
-268659213,66240335
-268659213,-1129661737
-1537218482,-1587222428
-1537218482,-1320788796
-1537218482,-1973113369
-1537218482,-1192982169
-1537218482,471884067
-1537218482,-1829066370
-1537218482,1662235542
-1537218482,-1506983900
-1537218482,-1133657859
-1537218482,-2143813851
-1537218482,-1576865770
-1537218482,-1153246252
-1537218482,-1520717236
-1537218482,537779217
-1537218482,2124501249
-1537218482,481452560
-1537218482,-1981926280
-1537218482,-380512906
-1537218482,-832558008
-1537218482,1038456780
-1537218482,-575956224
-1537218482,1738336688
-1537218482,957697211
-1537218482,-1495540108
-1537218482,-1750271972
-1537218482,-1518614967
-1537218482,1585582384
-1537218482,2049541914
-1537218482,879920582
-1537218482,-859125762
-1537218482,1736387913
-1537218482,1129729889
-1537218482,-2005424817
-1537218482,500969446
-1537218482,2054905793
-1537218482,571006516
-1537218482,1642093662
-1537218482,1729354157
-1537218482,-723501024
-1537218482,466231435
-1537218482,2105481150
-1537218482,-2046736060
-1537218482,1012819992
-1537218482,99424171
-1537218482,-1292721867
-1537218482,1531495951
-1537218482,-2123940049
-1537218482,-1964014044
-1537218482,-2133255403
-1537218482,2015473009
-1537218482,87167331
-1537218482,-1468385106
-1537218482,1733103001
-1537218482,-1718617126
-1537218482,1051775208
-1537218482,-316777787
-1537218482,420863694
-1537218482,-2043840269
-1537218482,-1559591570
-1537218482,688827370
-1537218482,-1720465899
-1537218482,792947236
-1537218482,-1156596121
-1537218482,-804964500
-1537218482,1359417581
-1537218482,-1362478559
-1537218482,1480013275
-1537218482,-75291921
-1537218482,342691712
-1537218482,826286509
-1537218482,808993110
-1537218482,-1293049342
-1537218482,889868285
-1537218482,-1621847261
-1537218482,383170465
-1537218482,-463549401
-1537218482,1631756094
-1537218482,-2040594014
-2081605636,-1017421548
-2081605636,-632493645
2056364677,-1279729895
2056364677,425230780
2056364677,220765613
2056364677,-1127355800
2056364677,109591822
2056364677,-1017708240
2056364677,-535256944
2056364677,1454096162
2056364677,-2104278631
2056364677,1087167398
2056364677,64288702
2056364677,-148583608
2056364677,-983980715
2056364677,-1232540058
2056364677,222798953
2056364677,-1239801836
2056364677,-1272297509
2056364677,929015789
2056364677,2101991773
2056364677,2016537956
2056364677,-935721233
2056364677,426692880
-2096465123,1665345474
-2096465123,1318952538
-2096465123,1217925776
-2096465123,1060069286
-2096465123,-1911929343
-2096465123,466718173
-2096465123,1018879850
-2096465123,771301352
-2096465123,-487620995
-2096465123,-337542158
-2096465123,1856912893
-2096465123,-2146251130
-2096465123,-1464276576
-2096465123,-1577552991
-2096465123,87718755
-2096465123,-1092480392
-2096465123,1910876280
-2096465123,-2032010817
-2096465123,-1255503861
-2096465123,576636860
-2096465123,-1221738994
-2096465123,1948920079
-2096465123,1296925547
-2096465123,-437085740
-2096465123,1711555043
-2096465123,528574639
-2096465123,-1084587403
-2096465123,-374619302
-2096465123,-586531528
-2096465123,-743989741
-2096465123,-1803500748
-2096465123,-15142996
-2096465123,-1313023223
-2096465123,-694959004
-2096465123,862563793
-2096465123,1124252666
-2096465123,368481934
-2096465123,-932500013
-2096465123,929244697
-2096465123,-501225948
-2096465123,1379696000
-2096465123,-1708863848
-2096465123,1825197110
-2096465123,1004812952
1880134152,-1609360144
1880134152,-296762710
1880134152,-1532899068
1880134152,-686868456
1880134152,2094146395
1880134152,-1195088871
-1949142072,99069900
-1949142072,-204275428
463540155,-659752896
463540155,804273279
-679341666,-879260265
-679341666,405973571
-679341666,-1592451180
-679341666,2042477515
-679341666,762779520
-679341666,1621223211
-679341666,-945369174
-679341666,-1558932774
-1740503972,-947704652
-1740503972,795751299
839712815,-809928964
839712815,1227459198
839712815,-69546483
839712815,859456067
1316649048,-1257783481
1316649048,-1015344595
368349142,-927850902
368349142,1487102089
-871086544,-1694192383
-871086544,-411448452
-871086544,-1945356021
-871086544,523444281
-871086544,880690292
-871086544,1165470844
-871086544,540384057
-871086544,2081890586
-871086544,1534141055
-871086544,64474823
-871086544,1927662836
-871086544,1878543851
-871086544,748150660
-871086544,2099358005
-871086544,337596170
-871086544,696799901
-871086544,1667862652
-871086544,1088948990
-871086544,1349090943
-871086544,986879690
-871086544,146704548
-871086544,1019239388
-871086544,2051969390
-871086544,767076248
-871086544,-1227282952
-871086544,733457044
-871086544,456589585
-871086544,1954234461
-871086544,-1732252520
-871086544,-1192905779
-871086544,1235713934
-871086544,-1098527831
-871086544,603409112
-871086544,1948437517
-871086544,-1431724136
-871086544,-1526439114
-871086544,907713583
-871086544,-1004346348
-871086544,-183545032
-871086544,2002953562
-871086544,498431624
-871086544,293117766
-871086544,-1182584644
-871086544,1236728054
-871086544,-265911195
-871086544,-1361092710
-871086544,-615000033
-871086544,875440997
-871086544,-486566737
-871086544,1687281089
-871086544,2083307133
-871086544,1072192441
-871086544,-311744195
-871086544,943004524
-871086544,-2128145284
-871086544,-1921875923
-871086544,618322053
-871086544,567825592
-871086544,-1036507304
-871086544,-456578903
-871086544,-691979101
-871086544,446234107
-871086544,-1868251454
-871086544,714004456
-871086544,-1930042733
-871086544,531631574
-871086544,-415430053
-871086544,1149926637
-871086544,-1646424139
-871086544,450342844
-871086544,668186045
-871086544,-1721894861
-871086544,1948248684
-871086544,370184549
-871086544,-1611052148
-871086544,78232798
-871086544,-2072683508
-871086544,1505311683
-871086544,-1893859232
-871086544,-1899612488
-871086544,33741442
-871086544,-1727468920
-871086544,-1450989310
-871086544,637990532
-871086544,1577655182
-871086544,1165507825
-871086544,-956469898
-871086544,513204765
-871086544,-778883297
-871086544,-462574083
-871086544,1507767373
-871086544,-1470224949
-871086544,-395528971
-871086544,1202321971
-871086544,-498315050
-871086544,-975263163
-871086544,-1477536398
-871086544,1319424825
-871086544,883795251
-871086544,1522686557
-871086544,216131198
-871086544,-5401038
-871086544,-827119597
-871086544,-1965493126
-871086544,553395039
-871086544,1658040183
