Primary Vertex hash,Summarized Vertex hash
1363706184,808455684
1363706184,-1570156579
1286261416,-373999687
1286261416,1423589029
836915178,915610339
836915178,1716926866
836915178,1312577240
836915178,2122742591
836915178,-82796342
836915178,458858711
836915178,-589034693
836915178,1016128239
-1482034525,-1050925876
-1482034525,-780233153
-1482034525,-2058702770
-1482034525,658951427
-1482034525,322602210
-1482034525,447692230
-1482034525,-1350355511
-1482034525,873612968
-736942561,-1114636339
-736942561,-1690767645
1403894719,-890573742
1403894719,-1031919929
-366456259,1147083831
-366456259,-1085467663
-1182945436,524549701
-1182945436,-685414942
1136004267,-1227465343
1136004267,1479705101
620625635,1171332419
620625635,-25500915
1013676875,-465104899
1013676875,1016794821
1899482901,-97998420
1899482901,1191590202
-871086544,-1249300740
-871086544,-1361756865
-871086544,-282627783
-871086544,-1380720212
537826089,1145054272
537826089,-1909461461
537826089,-313160368
537826089,203426854
537826089,-990780170
537826089,-1492293881
537826089,1672643513
537826089,1773832625
537826089,-1524194006
537826089,-2122169969
537826089,-1730103054
537826089,-1834798415
537826089,-889992480
537826089,2114985481
537826089,-1660871397
537826089,-682854576
537826089,-1964766527
537826089,597205936
537826089,-18891017
537826089,-1138844620
537826089,540344351
537826089,-247623402
537826089,-1483831387
537826089,1397068654
537826089,-325169997
537826089,-471432248
537826089,1239919063
537826089,-635512275
537826089,-967186835
537826089,-185232179
537826089,-1237469691
537826089,-168233534
537826089,-793481080
537826089,-15483092
537826089,-326660936
537826089,-1103118848
537826089,1077543034
537826089,1264880421
537826089,157755695
537826089,1228654967
537826089,277385412
537826089,-231976352
537826089,1876750218
537826089,1840049648
537826089,-309334548
537826089,1818209339
537826089,1569152482
537826089,1792436924
537826089,-1479243842
537826089,675219537
537826089,-1847062137
537826089,-1657553598
537826089,2005735420
537826089,345830639
537826089,-617112753
537826089,-951982277
537826089,-2046589320
537826089,-925538130
537826089,-717630137
537826089,1713374815
537826089,850178606
537826089,1341943678
537826089,302535309
537826089,-1659634283
537826089,-233090404
537826089,1308200305
537826089,1849200304
537826089,1579900578
537826089,410073336
537826089,-1352019971
537826089,753781883
537826089,-712657646
537826089,-987347521
537826089,2012583790
537826089,132499321
537826089,192613339
537826089,-1113441021
537826089,118572976
537826089,-1971189210
537826089,473734284
537826089,-1110450821
537826089,1608367979
537826089,-33768124
537826089,217320524
537826089,-781545008
537826089,1791085180
537826089,908064417
537826089,1588305515
537826089,-925030371
537826089,-1365160346
537826089,-1001331561
537826089,812798138
537826089,-527032230
537826089,-509804206
537826089,1214105746
537826089,1823083621
537826089,-1894191159
537826089,209136812
537826089,1041260237
537826089,-561389975
537826089,1088847877
537826089,1159300605
537826089,-1240312076
537826089,1401451363
537826089,-1649484478
537826089,1351790717
537826089,1482111143
537826089,-1331253161
537826089,1494456802
537826089,-867488582
537826089,1381921455
537826089,1887645808
537826089,1952674964
537826089,1443387123
537826089,-1848864462
537826089,-111404964
537826089,-2130820609
537826089,-849531815
537826089,-272871749
537826089,-24707188
537826089,-9961880
537826089,158034043
537826089,-227781763
537826089,-54624852
537826089,398292655
537826089,-1022197248
537826089,-250310655
537826089,-332395224
537826089,-1388065703
537826089,1105043649
537826089,-768584916
537826089,1034083516
537826089,-1811475176
537826089,1640046816
537826089,-330117773
537826089,375961408
537826089,-1583447883
537826089,1837362351
537826089,516308969
537826089,-1821863353
537826089,-799428234
537826089,1836141635
537826089,-1280765286
537826089,-940185919
537826089,-545055046
537826089,997972546
537826089,-1701217376
537826089,104367875
537826089,245387167
537826089,1815440757
537826089,-447708139
537826089,-414915071
537826089,191932982
537826089,231410823
537826089,1834167326
537826089,2037274657
537826089,2083700065
537826089,1055817659
537826089,-1912590505
537826089,993221220
537826089,-235179870
537826089,-2012829347
537826089,667223704
537826089,-1159660672
537826089,-1271138989
537826089,176262121
537826089,789884542
537826089,-1261439580
537826089,-752020922
537826089,-36275016
537826089,571499360
537826089,488954964
537826089,-1220954548
537826089,85689454
537826089,1530739274
537826089,842527552
537826089,-403863915
537826089,-1177266092
537826089,1313034178
537826089,-149490029
537826089,711166952
537826089,1737754143
537826089,-595943945
537826089,-74343908
537826089,710691788
537826089,2126135081
537826089,-1135534651
537826089,2082577844
537826089,-1640226901
537826089,1457616706
537826089,-1824361754
537826089,-946395599
537826089,930920155
537826089,1022516571
537826089,1032616998
537826089,-803163764
537826089,1187800929
537826089,-297742353
537826089,-1534540505
537826089,803917407
537826089,2001303292
537826089,2075556353
537826089,1431131276
537826089,-891811047
537826089,1945645627
537826089,834883584
537826089,930649789
537826089,-550576411
537826089,1852379045
537826089,77743471
537826089,159279280
537826089,-568909882
537826089,826708116
537826089,611247546
537826089,-299724810
537826089,-318419757
537826089,-65135161
537826089,1830841594
537826089,-1657561880
537826089,1187342104
537826089,680552781
537826089,-1644897260
537826089,960239832
537826089,1533983371
537826089,485
537826089,-1756916062
537826089,-1627300118
537826089,-562348138
537826089,-1404719702
537826089,1798703812
537826089,1309036533
537826089,-1894748443
537826089,-391190188
537826089,-191031965
537826089,-2097659130
537826089,-1396871870
537826089,1801611618
537826089,1149453955
537826089,256036163
537826089,1500027753
537826089,1337920958
537826089,-2064103686
537826089,1753262724
537826089,-907670559
537826089,-1023401706
537826089,-1396568364
537826089,-1919348850
537826089,-38076510
537826089,-378893451
537826089,953932539
537826089,1534785880
537826089,-857846021
537826089,348092058
537826089,-669484482
537826089,-1481603683
537826089,541434485
537826089,1040890937
537826089,626042723
537826089,-1275899450
537826089,-1783760997
537826089,760418159
537826089,878261786
537826089,1844645815
537826089,1557716639
537826089,1608752548
537826089,1139425699
537826089,-266079639
537826089,1586437316
537826089,-496713681
537826089,-1373213589
537826089,263638520
537826089,601940400
537826089,105030675
537826089,1315875900
537826089,260746712
537826089,1402622409
537826089,753913531
537826089,1597283681
537826089,531316209
537826089,2146770351
537826089,-1085424362
537826089,-1977481095
537826089,528743902
537826089,1196016919
537826089,1595563391
537826089,-1517058060
537826089,-167897191
537826089,-359167760
537826089,-441890866
537826089,1614938666
537826089,-127632882
537826089,-2009478574
