Primary Vertex hash,Summarized Vertex hash
-1930310413,-1941893261
-1930310413,825644829
-1884024905,1425364196
-1884024905,1303061294
1774041528,-606418277
1774041528,303264177
1774041528,561026098
1774041528,307117933
1774041528,1978051027
1774041528,-269553672
1774041528,671545441
1774041528,2097138662
-2116808238,1543808086
-2116808238,1268982379
-2096897276,-2069322454
-2096897276,-1315929820
1818950754,-1499616308
1818950754,1831234924
2080291829,370805084
2080291829,489577873
1336463267,202948618
1336463267,-868165293
1857363620,1381252565
1857363620,-1509316030
949573768,1920091824
949573768,-1246849237
-637400560,1056791358
-637400560,-94982993
2078620668,409646906
2078620668,-2089589917
2078620668,782828176
2078620668,1199269088
-1157289189,-1022403794
-1157289189,-1391071992
709507690,-721135769
709507690,-1603626096
709507690,-1385836546
709507690,-2118449802
1613889556,-1918027140
1613889556,926555070
144881803,831194643
144881803,209141293
48,1409418850
48,-416874697
48,-856805396
48,1446619981
48,2089438111
48,-171506194
48,1416169827
48,360734075
48,1287602868
48,1849422752
48,-1948723867
48,1543273458
476122192,-527753589
476122192,-1979135457
-1575185875,281435407
-1575185875,-1670823040
618259688,1122138306
618259688,1791869948
618259688,1045843507
618259688,-699272073
618259688,-1235035227
618259688,-177784833
618259688,905778165
618259688,600800039
618259688,306538860
618259688,-601485283
495226295,-2008532776
495226295,673321210
-283566294,-1639206023
-283566294,1467543072
1534282571,1084821418
1534282571,-1467598754
1695249714,-424751589
1695249714,-928552496
2108411280,-1755927999
2108411280,-395369518
-284512457,-1164613579
-284512457,-924078269
-1485629646,1361101553
-1485629646,-557993173
-1485629646,-862647953
-1485629646,-1688190451
1097437480,1148417515
1097437480,-537176441
501104028,-1884779192
501104028,1115846631
501104028,-531910462
501104028,-201800829
544493622,1969471139
544493622,750679974
-919889560,-814147186
-919889560,-962858428
-1882972288,590171817
-1882972288,312322528
1622429948,-2064509815
1622429948,-1719502434
254553956,1167715001
254553956,1425760966
-973777480,374330317
-973777480,-239951275
1173333410,1140702719
1173333410,134921341
1932239718,-140669666
1932239718,-1394066307
1932239718,766247830
1932239718,-1494236928
718744216,450853561
718744216,-1582284084
-918111984,-1880762604
-918111984,178171908
1193670524,-65251108
1193670524,-1271378453
1193670524,-1172877486
1193670524,-1423022357
1193670524,1938932278
1193670524,-196548049
1193670524,-1045151396
1193670524,-1210889942
1193670524,-1153243794
1193670524,1466795410
-112019191,-1131993775
-112019191,-110746210
148846724,1455185420
148846724,-800178743
-1675121541,-1890812650
-1675121541,-1494408925
-340218906,28882107
-340218906,164046324
226569694,-272811240
226569694,-716248216
1174718054,-617223710
1174718054,669529329
1174718054,1374078701
1174718054,-254195865
136067198,-74759031
136067198,1984575487
2036496646,1321588290
2036496646,1089072446
-1639289309,-1954246338
-1639289309,-87457865
1291340946,-748603887
1291340946,1283733890
1291340946,-336208388
1291340946,395005841
1291340946,1822752905
1291340946,307444110
1291340946,1963422297
1291340946,-599609348
889329000,-1076418412
889329000,950579287
1592209037,1644318496
1592209037,690044725
1592209037,1815543949
1592209037,156840402
-689613164,1222772037
-689613164,-829408999
-1656574672,251690504
-1656574672,740523241
-1656574672,717733964
-1656574672,-140285624
-1656574672,-387763089
-1656574672,628021315
-1656574672,684937756
-1656574672,726521308
-1656574672,938692770
-1656574672,2139683580
-1656574672,92402423
-1656574672,-342250897
-1656574672,1269750450
-1656574672,-1440155305
559636777,-1387485128
559636777,174594765
-1568992760,2136935614
-1568992760,1948920079
-1568992760,-778411085
-1568992760,1379696000
360559877,-1833968387
360559877,1986814519
1540647764,-846426028
1540647764,1974752283
-2038741256,1212930624
-2038741256,1441916527
-1139274594,-1362816176
-1139274594,1517688479
1541057360,-1026185563
1541057360,193831371
999922440,1552873273
999922440,1339410425
1294892476,786269449
1294892476,1898566243
-1922011668,-143187820
-1922011668,-1121092344
-1922011668,530424603
-1922011668,-99441363
894248400,-1378525705
894248400,-304139043
240090856,-1703457586
240090856,1792295151
-1189279307,-1188796146
-1189279307,-1426539757
1275501743,1970646999
1275501743,-1522485788
1319427597,101939795
1319427597,1857671241
1319427597,-2146199872
1319427597,1760501207
1319427597,1249536465
1319427597,-1653146805
-9945145,-1296364371
-9945145,-946905840
-1436464429,1293891831
-1436464429,-1465443011
2120974040,207166485
2120974040,403934623
1965675934,316346718
1965675934,-1890631776
702990687,740900202
702990687,537833945
1058058159,613603562
1058058159,52600655
1785109154,-631431126
1785109154,504735976
