         15994786 function calls (15947473 primitive calls) in 7.361 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2241486    0.935    0.000    0.935    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/term.py:144(__eq__)
   723682    0.484    0.000    0.484    0.000 {method 'match' of 're.Pattern' objects}
    89414    0.477    0.000    1.573    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/plugins/stores/memory.py:214(add)
   268242    0.332    0.000    1.321    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/plugins/parsers/ntriples.py:249(uriref)
   625905    0.321    0.000    0.699    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/plugins/parsers/ntriples.py:221(eat)
    61460    0.235    0.000    0.716    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/term.py:807(__gt__)
    89414    0.235    0.000    0.438    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/store.py:210(add)
   361175    0.229    0.000    0.422    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/plugins/stores/memory.py:496(__get_context_for_triple)
        4    0.211    0.053    2.582    0.646 /Users/tiddo/Documents/Msc Artificial Intelligence/Thesis_RGCN/Scaling-RGCN-training/graphdata/graph.py:36(init_graph)
    89421    0.196    0.000    3.959    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/plugins/parsers/ntriples.py:200(parseline)
   276343    0.194    0.000    0.194    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/term.py:80(_is_valid_uri)
    89414    0.165    0.000    0.186    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/events.py:42(__init__)
   361195    0.150    0.000    0.874    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/graph.py:453(triples)
   361175    0.140    0.000    0.562    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/plugins/stores/memory.py:539(__contexts)
    89414    0.136    0.000    0.349    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/plugins/stores/memory.py:450(__add_triple_context)
   361195    0.122    0.000    0.692    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/plugins/stores/memory.py:305(triples)
   276343    0.120    0.000    0.383    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/term.py:233(__new__)
        1    0.120    0.120    0.155    0.155 /Users/tiddo/Documents/Msc Artificial Intelligence/Thesis_RGCN/Scaling-RGCN-training/graphdata/dataset.py:23(remove_eval_data)
   276339    0.116    0.000    0.188    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/plugins/parsers/ntriples.py:54(unquote)
    89428    0.114    0.000    0.348    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/plugins/parsers/ntriples.py:176(readline)
   702571    0.112    0.000    0.141    0.000 {method 'get' of 'dict' objects}
       21    0.106    0.005    1.317    0.063 {built-in method builtins.sorted}
    30636    0.105    0.000    0.338    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/term.py:1057(eq)
   143234    0.097    0.000    0.097    0.000 /Users/tiddo/Documents/Msc Artificial Intelligence/Thesis_RGCN/Scaling-RGCN-training/graphdata/graph.py:65(<lambda>)
    89414    0.094    0.000    1.690    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/graph.py:423(add)
    89434    0.081    0.000    0.157    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/plugins/stores/memory.py:521(__ctx_to_str)
   285663    0.071    0.000    0.071    0.000 {built-in method __new__ of type object at 0x10e029828}
   286260    0.071    0.000    0.120    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/plugins/parsers/ntriples.py:218(peek)
        7    0.071    0.010    4.378    0.625 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/plugins/parsers/ntriples.py:134(parse)
   813890    0.069    0.000    0.069    0.000 {built-in method builtins.isinstance}
   268242    0.069    0.000    0.142    0.000 {method 'add' of 'set' objects}
   375697    0.068    0.000    0.068    0.000 {method 'startswith' of 'str' objects}
   361175    0.066    0.000    0.066    0.000 /Users/tiddo/opt/anaconda3/envs/scaling_rgcn/lib/python3.8/site-packages/rdflib/plugins/stores/memory.py:505(<listcomp>)
